# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.476111173629760742e-02 2.076655328273773193e-01 1.445319205522537231e-01 5.476111173629760742e-02 2.076655328273773193e-01 1.445319205522537231e-01
1.000000000000000000e+03 4.529790207743644714e-02 4.592231288552284241e-02 4.521678015589714050e-02 4.529790207743644714e-02 4.592231288552284241e-02 4.521678015589714050e-02
2.000000000000000000e+03 4.520032554864883423e-02 4.514462873339653015e-02 4.512093216180801392e-02 4.520032554864883423e-02 4.514462873339653015e-02 4.512093216180801392e-02
3.000000000000000000e+03 4.513146355748176575e-02 4.511344805359840393e-02 4.511566087603569031e-02 4.513146355748176575e-02 4.511344805359840393e-02 4.511566087603569031e-02
4.000000000000000000e+03 4.510655999183654785e-02 4.510395601391792297e-02 4.510997980833053589e-02 4.510655999183654785e-02 4.510395601391792297e-02 4.510997980833053589e-02
5.000000000000000000e+03 4.510265216231346130e-02 4.510134458541870117e-02 4.510739445686340332e-02 4.510265216231346130e-02 4.510134458541870117e-02 4.510739445686340332e-02
6.000000000000000000e+03 4.510057345032691956e-02 4.509963467717170715e-02 4.510583356022834778e-02 4.510057345032691956e-02 4.509963467717170715e-02 4.510583356022834778e-02
7.000000000000000000e+03 4.509826377034187317e-02 4.509789496660232544e-02 4.510445520281791687e-02 4.509826377034187317e-02 4.509789496660232544e-02 4.510445520281791687e-02
8.000000000000000000e+03 4.509595781564712524e-02 4.509614408016204834e-02 4.510318860411643982e-02 4.509595781564712524e-02 4.509614408016204834e-02 4.510318860411643982e-02
9.000000000000000000e+03 4.509381577372550964e-02 4.509441927075386047e-02 4.510205239057540894e-02 4.509381577372550964e-02 4.509441927075386047e-02 4.510205239057540894e-02
1.000000000000000000e+04 4.509194567799568176e-02 4.509275779128074646e-02 4.510102421045303345e-02 4.509194567799568176e-02 4.509275779128074646e-02 4.510102421045303345e-02
1.100000000000000000e+04 4.509028792381286621e-02 4.509115591645240784e-02 4.509995877742767334e-02 4.509028792381286621e-02 4.509115591645240784e-02 4.509995877742767334e-02
1.200000000000000000e+04 4.508864507079124451e-02 4.508954659104347229e-02 4.509865492582321167e-02 4.508864507079124451e-02 4.508954659104347229e-02 4.509865492582321167e-02
1.300000000000000000e+04 4.508682712912559509e-02 4.508777707815170288e-02 4.509698227047920227e-02 4.508682712912559509e-02 4.508777707815170288e-02 4.509698227047920227e-02
1.400000000000000000e+04 4.508486390113830566e-02 4.508584737777709961e-02 4.509505629539489746e-02 4.508486390113830566e-02 4.508584737777709961e-02 4.509505629539489746e-02
1.500000000000000000e+04 4.508276656270027161e-02 4.508375003933906555e-02 4.509293287992477417e-02 4.508276656270027161e-02 4.508375003933906555e-02 4.509293287992477417e-02
1.500000000000000000e+04 8.404097115999320522e-07 1.825294930313248187e-06 1.100664394471095875e-05 8.404097115999320522e-07 1.825294930313248187e-06 1.100664394471095875e-05
1.501900000000000000e+04 8.404097115999320522e-07 1.825294930313248187e-06 1.100664394471095875e-05 8.404097115999320522e-07 1.825294930313248187e-06 1.100664394471095875e-05
